2	1	2,272	102,4928
12	1	0,7918	100,1235
22	1	0,6516	102,0279
32	1	0,6129	101,9216
42	1	0,4296	102,4707
52	1	0,4127	98,899
62	1	0,4112	99,4008
72	1	0,2247	101,5618
82	1	0,2208	99,1058
92	1	0,2169	100,4831
102	1	0,2131	100,1078
112	1	0,2208	100,8693
122	1	0,2253	99,4781
132	1	0,1542	100,214
142	1	0,147	102,4089
152	1	0,1479	102,2283
162	1	0,1473	100,8257
172	1	0,1467	101,2295
182	1	0,1435	98,3477
192	1	0,1397	100,6469
202	1	0,1119	97,6921
212	1	0,1106	98,8231
222	1	0,1087	98,2934
232	1	0,1072	101,6266
242	1	0,1056	98,3877
252	1	0,1043	99,6
262	1	0,0953	98,2437
272	1	0,0947	98,1379
282	1	0,0939	102,5872
292	1	0,0922	98,6795
302	1	0,0882	100,1505
312	1	0,0855	101,7784
322	1	0,0824	100,6419
332	1	0,0789	99,0568
342	1	0,0766	100,7624
352	1	0,0744	100,1934
362	1	0,0724	100,0384
372	1	0,0705	102,4331
382	1	0,0691	99,0299
392	1	0,0673	101,4223
402	1	0,0653	100,1979
412	1	0,0639	101,4125
422	1	0,0625	99,5619
432	1	0,0608	102,0177
442	1	0,0597	98,9753
452	1	0,0587	99,3192
462	1	0,0569	101,5948
472	1	0,0558	102,1495
482	1	0,0545	97,9024
492	1	0,0536	102,2997
502	1	0,0527	100,8472
2	11	0,7172	98,1082
12	11	0,1779	98,5687
22	11	0,1076	100,8891
32	11	0,0731	102,0065
42	11	0,0555	99,2914
52	11	0,0469	97,8601
62	11	0,0392	97,6335
72	11	0,0334	99,8178
82	11	0,0293	97,8416
92	11	0,0261	98,7151
102	11	0,0237	102,3745
112	11	0,0215	102,0309
122	11	0,0199	101,7735
132	11	0,0185	98,8505
142	11	0,0172	100,215
152	11	0,016	99,391
162	11	0,015	101,3151
172	11	0,0141	100,0763
182	11	0,0133	100,8523
192	11	0,0133	100,17
202	11	0,012	97,7078
212	11	0,0114	99,6992
222	11	0,011	102,1695
232	11	0,0105	102,1641
242	11	0,0101	101,1147
252	11	0,0097	98,9308
262	11	0,0093	101,202
272	11	0,009	100,7086
282	11	0,0086	99,2785
292	11	0,0083	100,9473
302	11	0,0083	98,3392
312	11	0,0093	99,7083
322	11	0,0078	101,9074
332	11	0,0074	101,6531
342	11	0,0071	99,1586
352	11	0,0069	98,6515
362	11	0,0067	101,9736
372	11	0,0066	99,2582
382	11	0,0064	100,9392
392	11	0,0062	102,2881
402	11	0,0061	100,4489
412	11	0,0059	100,7928
422	11	0,0058	101,7998
432	11	0,0068	99,7039
442	11	0,0061	102,1257
452	11	0,0057	99,4977
462	11	0,0055	101,5803
472	11	0,0063	100,9268
482	11	0,0058	102,0606
492	11	0,0056	99,918
502	11	0,0055	99,0463
2	21	0,4672	102,3593
12	21	0,1083	102,1585
22	21	0,0575	98,2783
32	21	0,04	101,9354
42	21	0,0304	100,7292
52	21	0,0242	99,6802
62	21	0,0204	100,6155
72	21	0,0175	98,9211
82	21	0,0158	101,4439
92	21	0,0139	99,0499
102	21	0,0126	99,7466
112	21	0,0114	98,6409
122	21	0,0104	98,4473
132	21	0,0096	98,8901
142	21	0,0089	100,2904
152	21	0,0084	99,5905
162	21	0,008	98,3554
172	21	0,0074	102,041
182	21	0,007	98,0229
192	21	0,007	98,1367
202	21	0,0063	99,9833
212	21	0,0061	101,3078
222	21	0,0058	102,4295
232	21	0,0055	102,1808
242	21	0,0058	100,9282
252	21	0,0062	99,4217
262	21	0,0058	101,2543
272	21	0,0053	99,3486
282	21	0,0053	98,9763
292	21	0,0055	98,6666
302	21	0,0053	100,4271
312	21	0,0051	98,7271
322	21	0,005	98,2667
332	21	0,0048	101,1657
342	21	0,0047	98,132
352	21	0,0046	101,4715
362	21	0,0045	98,3248
372	21	0,0043	101,2291
382	21	0,0041	97,8766
392	21	0,004	102,2549
402	21	0,0039	97,7665
412	21	0,0039	100,1117
422	21	0,0037	98,3848
432	21	0,0037	98,7039
442	21	0,0036	101,4925
452	21	0,0035	101,1665
462	21	0,0035	100,7863
472	21	0,0033	102,3403
482	21	0,0033	100,7002
492	21	0,0032	101,3021
502	21	0,0031	98,4071
2	31	0,4397	98,2479
12	31	0,0734	100,1406
22	31	0,0396	97,9183
32	31	0,0271	97,8699
42	31	0,0204	98,5397
52	31	0,0164	99,821
62	31	0,0139	101,6099
72	31	0,0119	100,3777
82	31	0,0107	101,2875
92	31	0,0095	97,7681
102	31	0,0084	98,2967
112	31	0,0077	102,5071
122	31	0,0071	98,5281
132	31	0,0065	101,9562
142	31	0,0062	98,1331
152	31	0,0058	102,4945
162	31	0,0055	97,7754
172	31	0,0051	101,859
182	31	0,006	97,8672
192	31	0,0056	97,526
202	31	0,0052	102,1199
212	31	0,0049	100,4739
222	31	0,0049	98,4065
232	31	0,0046	98,3201
242	31	0,0044	99,4628
252	31	0,0043	102,0692
262	31	0,0042	101,602
272	31	0,004	99,2994
282	31	0,0039	100,2658
292	31	0,0038	100,4006
302	31	0,0036	99,7665
312	31	0,0036	100,9405
322	31	0,0035	98,0015
332	31	0,0033	100,1572
342	31	0,0032	101,2891
352	31	0,0031	99,0245
362	31	0,003	102,464
372	31	0,003	100,3879
382	31	0,0029	101,8908
392	31	0,0028	101,2417
402	31	0,0027	100,6477
412	31	0,0027	97,6797
422	31	0,0026	101,2415
432	31	0,0025	101,6685
442	31	0,0025	102,1295
452	31	0,0025	101,8684
462	31	0,0024	101,6573
472	31	0,0023	102,3993
482	31	0,0023	101,2213
